index,timestamp,scanned_code,expected_code,status
171,'16:06:00.181,'8991027561800272731,'8991027561800272731,OK
170,'16:06:00.656,'8991027561800272730,'8991027561800272730,OK
169,'16:06:01.162,'8991027561800272729,'8991027561800272729,OK
200,'16:06:01.655,'8991027561800272728,'8991027561800272728,OK
199,'16:06:02.156,'8991027561800272727,'8991027561800272727,OK
198,'16:06:02.655,'8991027561800272726,'8991027561800272726,OK
197,'16:06:03.154,'8991027561800272725,'8991027561800272725,OK
196,'16:06:03.662,'8991027561800272724,'8991027561800272724,OK
195,'16:06:04.155,'8991027561800272723,'8991027561800272723,OK
194,'16:06:04.662,'8991027561800272722,'8991027561800272722,OK
193,'16:06:05.162,'8991027561800272721,'8991027561800272721,OK
192,'16:06:05.656,'8991027561800272720,'8991027561800272720,OK
191,'16:06:06.157,'8991027561800272719,'8991027561800272719,OK
190,'16:06:06.664,'8991027561800272718,'8991027561800272718,OK
189,'16:06:07.164,'8991027561800272717,'8991027561800272717,OK
188,'16:06:07.657,'8991027561800272716,'8991027561800272716,OK
187,'16:06:08.164,'8991027561800272715,'8991027561800272715,OK
186,'16:06:08.655,'8991027561800272714,'8991027561800272714,OK
185,'16:06:09.164,'8991027561800272713,'8991027561800272713,OK
184,'16:06:09.655,'8991027561800272712,'8991027561800272712,OK
183,'16:06:10.155,'8991027561800272711,'8991027561800272711,OK
182,'16:06:10.662,'8991027561800272710,'8991027561800272710,OK
181,'16:06:11.163,'8991027561800272709,'8991027561800272709,OK
180,'16:06:11.656,'8991027561800272708,'8991027561800272708,OK
179,'16:06:12.155,'8991027561800272707,'8991027561800272707,OK
178,'16:06:12.656,'8991027561800272706,'8991027561800272706,OK
177,'16:06:13.163,'8991027561800272705,'8991027561800272705,OK
175,'16:06:17.400,'8991027561800272703,'8991027561800272703,OK (JUMPED)
175,'16:06:17.400,'8991027561800272703,'8991027561800272703,OK (JUMPED)
174,'16:06:25.556,'8991027561800272702,'8991027561800272702,OK
173,'16:06:26.063,'8991027561800272701,'8991027561800272701,OK
172,'16:06:26.555,'8991027561800272700,'8991027561800272700,OK
159,'16:06:27.062,'8991027561800272699,'8991027561800272699,OK
138,'16:06:27.564,'8991027561800272698,'8991027561800272698,OK
137,'16:06:28.062,'8991027561800272704,'8991027561800272697,NOT OK
137,'16:07:13.179,'8991027561800272697,'8991027561800272697,OK
136,'16:07:13.756,'8991027561800272696,'8991027561800272696,OK
135,'16:07:14.256,'8991027561800272695,'8991027561800272695,OK
134,'16:07:14.756,'8991027561800272694,'8991027561800272694,OK
133,'16:07:15.256,'8991027561800272693,'8991027561800272693,OK
132,'16:07:15.756,'8991027561800272692,'8991027561800272692,OK
131,'16:07:16.256,'8991027561800272691,'8991027561800272691,OK
130,'16:07:16.763,'8991027561800272690,'8991027561800272690,OK
129,'16:07:17.263,'8991027561800272689,'8991027561800272689,OK
158,'16:07:17.763,'8991027561800272688,'8991027561800272688,OK
128,'16:07:18.263,'8991027561800272687,'8991027561800272687,OK
108,'16:07:18.762,'8991027561800272686,'8991027561800272686,OK
157,'16:07:19.263,'8991027561800272685,'8991027561800272685,OK
127,'16:07:19.756,'8991027561800272684,'8991027561800272684,OK
107,'16:07:20.263,'8991027561800272683,'8991027561800272683,OK
156,'16:07:20.765,'8991027561800272682,'8991027561800272682,OK
126,'16:07:21.258,'8991027561800272681,'8991027561800272681,OK
106,'16:08:18.989,'8991027561800272680,'8991027561800272680,OK
155,'16:08:19.355,'8991027561800272679,'8991027561800272679,OK
125,'16:08:19.856,'8991027561800272678,'8991027561800272678,OK
105,'16:08:20.364,'8991027561800272677,'8991027561800272677,OK
154,'16:08:20.864,'8991027561800272676,'8991027561800272676,OK
124,'16:08:21.363,'8991027561800272675,'8991027561800272675,OK
104,'16:08:21.856,'8991027561800272674,'8991027561800272674,OK
153,'16:08:22.364,'8991027561800272673,'8991027561800272673,OK
123,'16:08:22.863,'8991027561800272672,'8991027561800272672,OK
103,'16:08:23.364,'8991027561800272671,'8991027561800272671,OK
152,'16:08:23.854,'8991027561800272670,'8991027561800272670,OK
122,'16:08:24.364,'8991027561800272669,'8991027561800272669,OK
102,'16:08:24.863,'8991027561800272668,'8991027561800272668,OK
151,'16:08:25.356,'8991027561800272667,'8991027561800272667,OK
121,'16:08:25.863,'8991027561800272666,'8991027561800272666,OK
101,'16:08:26.356,'8991027561800272665,'8991027561800272665,OK
150,'16:08:26.865,'8991027561800272664,'8991027561800272664,OK
120,'16:08:27.363,'8991027561800272663,'8991027561800272663,OK
149,'16:08:31.293,'8991027561800272661,'8991027561800272661,OK (JUMPED)
149,'16:08:31.293,'8991027561800272661,'8991027561800272661,OK (JUMPED)
119,'16:08:34.856,'8991027561800272660,'8991027561800272660,OK
99,'16:08:35.457,'8991027561800272659,'8991027561800272659,OK
168,'16:08:35.963,'8991027561800272658,'8991027561800272658,OK
118,'16:08:36.463,'8991027561800272657,'8991027561800272657,OK
88,'16:08:36.956,'8991027561800272656,'8991027561800272656,OK
167,'16:08:37.463,'8991027561800272655,'8991027561800272655,OK
117,'16:08:37.962,'8991027561800272654,'8991027561800272654,OK
87,'16:08:38.465,'8991027561800272653,'8991027561800272653,OK
166,'16:08:38.958,'8991027561800272652,'8991027561800272652,OK
116,'16:08:39.465,'8991027561800272651,'8991027561800272651,OK
86,'16:08:39.963,'8991027561800272650,'8991027561800272650,OK
165,'16:08:40.464,'8991027561800272649,'8991027561800272649,OK
115,'16:08:40.956,'8991027561800272648,'8991027561800272648,OK
85,'16:08:41.457,'8991027561800272647,'8991027561800272647,OK
164,'16:08:41.957,'8991027561800272646,'8991027561800272646,OK
114,'16:08:42.456,'8991027561800272645,'8991027561800272645,OK
84,'16:08:42.961,'8991027561800272644,'8991027561800272644,OK
163,'16:08:43.456,'8991027561800272643,'8991027561800272643,OK
113,'16:08:43.956,'8991027561800272642,'8991027561800272642,OK
162,'16:08:46.345,'MISSING,'8991027561800272640,SKIPPED
112,'16:08:46.345,'MISSING,'8991027561800272639,SKIPPED
82,'16:08:46.345,'MISSING,'8991027561800272638,SKIPPED
161,'16:08:46.345,'MISSING,'8991027561800272637,SKIPPED
111,'16:08:46.345,'MISSING,'8991027561800272636,SKIPPED
81,'16:08:46.345,'MISSING,'8991027561800272635,SKIPPED
160,'16:08:46.345,'MISSING,'8991027561800272634,SKIPPED
110,'16:08:46.345,'8991027561800272633,'8991027561800272633,OK (JUMPED)
162,'16:08:46.345,'MISSING,'8991027561800272640,SKIPPED
112,'16:08:46.345,'MISSING,'8991027561800272639,SKIPPED
82,'16:08:46.345,'MISSING,'8991027561800272638,SKIPPED
161,'16:08:46.345,'MISSING,'8991027561800272637,SKIPPED
111,'16:08:46.345,'MISSING,'8991027561800272636,SKIPPED
81,'16:08:46.345,'MISSING,'8991027561800272635,SKIPPED
160,'16:08:46.345,'MISSING,'8991027561800272634,SKIPPED
110,'16:08:46.345,'8991027561800272633,'8991027561800272633,OK (JUMPED)
80,'16:08:53.856,'8991027561800272640,'8991027561800272632,NOT OK
80,'16:09:02.756,'8991027561800272640,'8991027561800272632,NOT OK
80,'16:09:09.756,'8991027561800272637,'8991027561800272632,NOT OK
80,'16:09:23.492,'8991027561800272638,'8991027561800272632,NOT OK
80,'16:09:26.262,'8991027561800272636,'8991027561800272632,NOT OK
80,'16:09:28.557,'8991027561800272635,'8991027561800272632,NOT OK
80,'16:09:30.456,'8991027561800272634,'8991027561800272632,NOT OK
80,'16:09:32.255,'8991027561800272632,'8991027561800272632,OK
109,'16:09:32.762,'8991027561800272662,'8991027561800272631,NOT OK
109,'16:09:40.262,'8991027561800272631,'8991027561800272631,OK
79,'16:09:40.756,'8991027561800272630,'8991027561800272630,OK
78,'16:09:41.263,'8991027561800272629,'8991027561800272629,OK
77,'16:09:41.763,'8991027561800272628,'8991027561800272628,OK
76,'16:09:42.256,'8991027561800272627,'8991027561800272627,OK
75,'16:09:42.756,'8991027561800272626,'8991027561800272626,OK
74,'16:09:43.257,'8991027561800272625,'8991027561800272625,OK
73,'16:09:43.764,'8991027561800272624,'8991027561800272624,OK
72,'16:09:44.263,'8991027561800272623,'8991027561800272623,OK
71,'16:09:44.763,'8991027561800272622,'8991027561800272622,OK
70,'16:09:45.263,'8991027561800272621,'8991027561800272621,OK
69,'16:09:45.762,'8991027561800272620,'8991027561800272620,OK
98,'16:09:46.256,'8991027561800272619,'8991027561800272619,OK
97,'16:09:46.755,'8991027561800272618,'8991027561800272618,OK
96,'16:09:47.263,'8991027561800272617,'8991027561800272617,OK
95,'16:09:47.765,'8991027561800272616,'8991027561800272616,OK
94,'16:09:48.263,'8991027561800272615,'8991027561800272615,OK
93,'16:09:48.760,'8991027561800272614,'8991027561800272614,OK
92,'16:09:49.263,'8991027561800272613,'8991027561800272613,OK
91,'16:09:49.763,'8991027561800272612,'8991027561800272612,OK
90,'16:09:50.263,'8991027561800272611,'8991027561800272611,OK
89,'16:09:50.756,'8991027561800272610,'8991027561800272610,OK
148,'16:09:51.256,'8991027561800272609,'8991027561800272609,OK
147,'16:09:51.756,'8991027561800272608,'8991027561800272608,OK
146,'16:09:52.256,'8991027561800272607,'8991027561800272607,OK
145,'16:09:52.756,'8991027561800272606,'8991027561800272606,OK
144,'16:09:53.263,'8991027561800272605,'8991027561800272605,OK
143,'16:09:53.763,'8991027561800272604,'8991027561800272604,OK
142,'16:09:54.263,'8991027561800272603,'8991027561800272603,OK
141,'16:09:54.756,'8991027561800272602,'8991027561800272602,OK
140,'16:09:55.266,'8991027561800272601,'8991027561800272601,OK
139,'16:09:55.764,'8991027561800272600,'8991027561800272600,OK
68,'16:09:56.256,'8991027561800272641,'8991027561800272599,NOT OK
68,'16:10:13.257,'8991027561800272639,'8991027561800272599,NOT OK
68,'16:10:15.557,'8991027561800272599,'8991027561800272599,OK
67,'16:10:16.156,'8991027561800272598,'8991027561800272598,OK
66,'16:10:16.664,'8991027561800272597,'8991027561800272597,OK
65,'16:10:17.165,'8991027561800272596,'8991027561800272596,OK
64,'16:10:17.657,'8991027561800272595,'8991027561800272595,OK
63,'16:10:18.156,'8991027561800272594,'8991027561800272594,OK
62,'16:10:18.656,'8991027561800272593,'8991027561800272593,OK
61,'16:10:19.163,'8991027561800272592,'8991027561800272592,OK
60,'16:10:19.655,'8991027561800272591,'8991027561800272591,OK
59,'16:10:20.164,'8991027561800272590,'8991027561800272590,OK
28,'16:10:20.664,'8991027561800272589,'8991027561800272589,OK
27,'16:10:21.157,'8991027561800272588,'8991027561800272588,OK
26,'16:10:21.657,'8991027561800272587,'8991027561800272587,OK
25,'16:10:22.156,'8991027561800272586,'8991027561800272586,OK
24,'16:10:22.665,'8991027561800272585,'8991027561800272585,OK
23,'16:10:23.156,'8991027561800272584,'8991027561800272584,OK
22,'16:10:23.685,'8991027561800272583,'8991027561800272583,OK
21,'16:10:24.156,'8991027561800272582,'8991027561800272582,OK
20,'16:10:24.656,'8991027561800272581,'8991027561800272581,OK
19,'16:10:25.164,'8991027561800272580,'8991027561800272580,OK
48,'16:10:25.663,'8991027561800272579,'8991027561800272579,OK
47,'16:10:26.164,'8991027561800272578,'8991027561800272578,OK
46,'16:10:26.656,'8991027561800272577,'8991027561800272577,OK
45,'16:10:27.163,'8991027561800272576,'8991027561800272576,OK
44,'16:10:27.664,'8991027561800272575,'8991027561800272575,OK
43,'16:10:28.156,'8991027561800272574,'8991027561800272574,OK
